acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439814428.949	14:27:08 17/08/2015		9.399980E-9	4.999990E-9	-1.00000000	8.5694	0.3472	
1439814429.963	14:27:09 17/08/2015		9.399980E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814430.963	14:27:10 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814431.963	14:27:11 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814432.904	14:27:12 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814433.904	14:27:13 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814434.904	14:27:14 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814435.904	14:27:15 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814436.858	14:27:16 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814437.858	14:27:17 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814438.784	14:27:18 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814439.785	14:27:19 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814440.785	14:27:20 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814441.784	14:27:21 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814442.784	14:27:22 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814443.784	14:27:23 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814444.784	14:27:24 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814445.784	14:27:25 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814446.776	14:27:26 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814447.777	14:27:27 17/08/2015		9.899980E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814448.730	14:27:28 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814449.730	14:27:29 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814450.730	14:27:30 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814451.667	14:27:31 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814452.698	14:27:32 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814453.699	14:27:33 17/08/2015		9.399980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814454.699	14:27:34 17/08/2015		9.399980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814455.631	14:27:35 17/08/2015		9.399980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814456.583	14:27:36 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814457.524	14:27:37 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814458.524	14:27:38 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814459.523	14:27:39 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814460.523	14:27:40 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814461.481	14:27:41 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814462.481	14:27:42 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814463.386	14:27:43 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814464.335	14:27:44 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814465.335	14:27:45 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814466.238	14:27:46 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814467.189	14:27:47 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814468.189	14:27:48 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814469.089	14:27:49 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814470.089	14:27:50 17/08/2015		9.799979E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814471.089	14:27:51 17/08/2015		9.799979E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814472.020	14:27:52 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814473.020	14:27:53 17/08/2015		9.899980E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814473.917	14:27:53 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814474.917	14:27:54 17/08/2015		9.799979E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814475.917	14:27:55 17/08/2015		9.799979E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814476.840	14:27:56 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814477.785	14:27:57 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814478.785	14:27:58 17/08/2015		9.499980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814479.750	14:27:59 17/08/2015		9.499980E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814480.750	14:28:00 17/08/2015		9.299980E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814481.716	14:28:01 17/08/2015		9.499980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814482.653	14:28:02 17/08/2015		9.399980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814483.653	14:28:03 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814484.654	14:28:04 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814485.578	14:28:05 17/08/2015		9.899980E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814486.578	14:28:06 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814487.551	14:28:07 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814488.551	14:28:08 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
