acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	
1439373757.346	20150812_120237		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373757.546	20150812_120237		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373757.745	20150812_120237		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373757.946	20150812_120237		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373758.199	20150812_120238		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373758.446	20150812_120238		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373758.647	20150812_120238		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373758.846	20150812_120238		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373759.046	20150812_120239		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373759.247	20150812_120239		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373759.466	20150812_120239		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373759.670	20150812_120239		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373759.870	20150812_120239		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373760.069	20150812_120240		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373760.265	20150812_120240		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373760.468	20150812_120240		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373760.667	20150812_120240		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373760.868	20150812_120240		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373761.068	20150812_120241		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373761.267	20150812_120241		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373761.467	20150812_120241		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373761.669	20150812_120241		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373761.870	20150812_120241		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373762.068	20150812_120242		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373762.269	20150812_120242		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373762.467	20150812_120242		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373762.670	20150812_120242		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373762.868	20150812_120242		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373763.067	20150812_120243		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373763.274	20150812_120243		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373763.470	20150812_120243		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373763.669	20150812_120243		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373763.870	20150812_120243		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373764.068	20150812_120244		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373764.267	20150812_120244		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373764.469	20150812_120244		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373764.671	20150812_120244		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373764.871	20150812_120244		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373765.071	20150812_120245		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373765.271	20150812_120245		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373765.471	20150812_120245		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373765.671	20150812_120245		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373765.871	20150812_120245		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373766.075	20150812_120246		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373766.271	20150812_120246		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373766.472	20150812_120246		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373766.672	20150812_120246		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373766.874	20150812_120246		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373767.075	20150812_120247		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373767.273	20150812_120247		1.400000E-8	1.000000E+4	9.600000E-10	9.600000E-10	9.600000E-10	9.600000E-10	
1439373767.553	20150812_120247		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373767.753	20150812_120247		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373767.953	20150812_120247		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373768.153	20150812_120248		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373768.354	20150812_120248		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373768.573	20150812_120248		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373768.773	20150812_120248		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373768.973	20150812_120248		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373769.178	20150812_120249		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373769.375	20150812_120249		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373769.577	20150812_120249		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373769.776	20150812_120249		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373769.977	20150812_120249		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373770.156	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373770.376	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373770.576	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373770.776	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373770.978	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373771.178	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373771.376	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373771.578	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373771.776	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373772.003	20150812_120252		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
