acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	VGHB_41752(°C)	
1439395348.375	20150812_180228		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395348.575	20150812_180228		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395348.774	20150812_180228		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395348.976	20150812_180228		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395349.176	20150812_180229		1.300000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395349.399	20150812_180229		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395349.599	20150812_180229		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395349.799	20150812_180229		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395350.001	20150812_180230		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395350.200	20150812_180230		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395350.402	20150812_180230		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395350.602	20150812_180230		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395350.815	20150812_180230		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395351.081	20150812_180231		1.300000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
