acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	(°C)	
1439396427.900	20150812_182027		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396428.201	20150812_182028		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396428.500	20150812_182028		1.300000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396428.802	20150812_182028		1.300000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396429.111	20150812_182029		1.300000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396429.515	20150812_182029		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396429.816	20150812_182029		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396430.202	20150812_182030		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396430.516	20150812_182030		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396430.815	20150812_182030		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396431.216	20150812_182031		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396431.602	20150812_182031		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396431.903	20150812_182031		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396432.217	20150812_182032		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396432.617	20150812_182032		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396433.003	20150812_182033		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396433.402	20150812_182033		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396433.804	20150812_182033		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396434.205	20150812_182034		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396434.605	20150812_182034		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396435.004	20150812_182035		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396435.404	20150812_182035		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396435.805	20150812_182035		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396436.208	20150812_182036		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396436.607	20150812_182036		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396437.007	20150812_182037		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396437.407	20150812_182037		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396437.808	20150812_182037		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396438.207	20150812_182038		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396438.609	20150812_182038		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396439.009	20150812_182039		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396439.410	20150812_182039		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396439.811	20150812_182039		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396440.111	20150812_182040		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396440.511	20150812_182040		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396440.910	20150812_182040		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396441.312	20150812_182041		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396441.712	20150812_182041		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396442.113	20150812_182042		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396442.512	20150812_182042		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396442.912	20150812_182042		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396443.312	20150812_182043		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396443.613	20150812_182043		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396443.927	20150812_182043		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396444.329	20150812_182044		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396444.713	20150812_182044		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396445.113	20150812_182045		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396445.513	20150812_182045		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396445.913	20150812_182045		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396446.314	20150812_182046		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396446.713	20150812_182046		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396447.114	20150812_182047		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396447.550	20150812_182047		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
