acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	TT900(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	TT909(°C)	
1439396720.182	20150812_182520		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396733.197	20150812_182533		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396744.978	20150812_182544		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396745.278	20150812_182545		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396745.577	20150812_182545		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396745.878	20150812_182545		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396746.178	20150812_182546		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396746.591	20150812_182546		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396746.978	20150812_182546		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396747.278	20150812_182547		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396747.592	20150812_182547		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396747.878	20150812_182547		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396748.179	20150812_182548		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396748.478	20150812_182548		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396748.778	20150812_182548		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396749.192	20150812_182549		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396749.579	20150812_182549		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396749.880	20150812_182549		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396750.193	20150812_182550		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396750.596	20150812_182550		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396750.980	20150812_182550		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396751.280	20150812_182551		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396751.781	20150812_182551		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396752.182	20150812_182552		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396752.481	20150812_182552		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396752.796	20150812_182552		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396753.198	20150812_182553		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396753.581	20150812_182553		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396753.883	20150812_182553		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396754.193	20150812_182554		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396754.482	20150812_182554		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396754.896	20150812_182554		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396755.282	20150812_182555		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396755.683	20150812_182555		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396756.084	20150812_182556		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396756.483	20150812_182556		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396756.783	20150812_182556		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396757.100	20150812_182557		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396757.384	20150812_182557		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396757.799	20150812_182557		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396758.185	20150812_182558		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396758.586	20150812_182558		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396758.986	20150812_182558		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396759.285	20150812_182559		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396759.602	20150812_182559		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396760.000	20150812_182600		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396760.386	20150812_182600		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396760.785	20150812_182600		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396761.186	20150812_182601		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396761.588	20150812_182601		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396761.987	20150812_182601		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396762.388	20150812_182602		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396762.789	20150812_182602		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396763.089	20150812_182603		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396763.404	20150812_182603		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396763.802	20150812_182603		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396764.189	20150812_182604		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396764.587	20150812_182604		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396764.987	20150812_182604		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396765.388	20150812_182605		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396765.789	20150812_182605		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396766.189	20150812_182606		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396766.489	20150812_182606		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396766.889	20150812_182606		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396767.289	20150812_182607		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396767.589	20150812_182607		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396767.903	20150812_182607		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396768.306	20150812_182608		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396768.689	20150812_182608		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396769.090	20150812_182609		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396769.391	20150812_182609		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396769.792	20150812_182609		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396770.193	20150812_182610		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396770.593	20150812_182610		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396770.993	20150812_182610		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396771.393	20150812_182611		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396771.693	20150812_182611		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396772.012	20150812_182612		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396772.409	20150812_182612		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396772.795	20150812_182612		1.400000E-8	6.199987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396773.195	20150812_182613		1.400000E-8	6.199987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396773.595	20150812_182613		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396773.995	20150812_182613		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396774.394	20150812_182614		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396774.795	20150812_182614		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396775.195	20150812_182615		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396775.596	20150812_182615		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396775.996	20150812_182615		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
