acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	TT909(°C)	VGHB_41752(mbar)	
1439555651.817	20150814_143411				292.4036		
1439555653.902	20150814_143413		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555655.936	20150814_143415		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555657.958	20150814_143417		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555659.992	20150814_143419		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555662.028	20150814_143422		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555664.055	20150814_143424		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555666.084	20150814_143426		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555668.117	20150814_143428		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555670.152	20150814_143430		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555672.184	20150814_143432		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555674.224	20150814_143434		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555676.246	20150814_143436		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555678.273	20150814_143438		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555680.300	20150814_143440		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555682.333	20150814_143442		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555684.367	20150814_143444		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555686.414	20150814_143446		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555688.461	20150814_143448		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555690.513	20150814_143450		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555692.561	20150814_143452		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555694.588	20150814_143454		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555696.617	20150814_143456		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555698.651	20150814_143458		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555700.675	20150814_143500		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555702.723	20150814_143502		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555704.755	20150814_143504		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555706.818	20150814_143506		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555708.850	20150814_143508		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555710.873	20150814_143510		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555712.903	20150814_143512		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555714.929	20150814_143514		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555716.972	20150814_143516		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555719.017	20150814_143519		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
1439555721.037	20150814_143521		1.300000E-8	1.000000E+4	292.4036	1.100000E-8	
