acqUNIXTime	acqDateTimestamp	VGI_2(mbar)	VGI_1(mbar)	VGHB_41752(mbar)	
1439558799.482	20150814_152639		1.000000E+4	1.100000E-8	1.099999E-8	
1439558800.282	20150814_152640		5.899988E-9	1.100000E-8	9.999992E-9	
1439558800.892	20150814_152640		5.799988E-9	1.100000E-8	1.099999E-8	
1439558802.483	20150814_152642		5.899988E-9	1.100000E-8	9.999992E-9	
1439558802.690	20150814_152642		5.899988E-9	1.100000E-8	1.099999E-8	
1439558804.219	20150814_152644		5.799988E-9	1.100000E-8	1.099999E-8	
1439558805.029	20150814_152645		5.799988E-9	1.100000E-8	9.999992E-9	
1439558806.563	20150814_152646		5.899988E-9	1.100000E-8	1.099999E-8	
1439558807.783	20150814_152647		5.899988E-9	1.100000E-8	1.099999E-8	
1439558808.977	20150814_152648		5.899988E-9	1.100000E-8	9.999992E-9	
1439558810.199	20150814_152650		5.799988E-9	1.100000E-8	9.999992E-9	
1439558810.995	20150814_152650		5.799988E-9	1.100000E-8	9.999992E-9	
1439558812.198	20150814_152652		5.899988E-9	1.100000E-8	9.999992E-9	
1439558813.420	20150814_152653		5.899988E-9	1.100000E-8	9.999992E-9	
1439558815.012	20150814_152655		5.899988E-9	1.100000E-8	9.999992E-9	
1439558815.816	20150814_152655		5.899988E-9	1.100000E-8	1.099999E-8	
1439558817.028	20150814_152657		5.799988E-9	1.100000E-8	1.099999E-8	
1439558818.620	20150814_152658		5.899988E-9	1.100000E-8	1.099999E-8	
1439558820.215	20150814_152700		5.899988E-9	1.100000E-8	1.099999E-8	
1439558821.437	20150814_152701		5.899988E-9	1.100000E-8	1.099999E-8	
1439558821.639	20150814_152701		5.899988E-9	1.100000E-8	1.099999E-8	
1439558823.055	20150814_152703		5.699988E-9	1.100000E-8	9.999992E-9	
1439558824.277	20150814_152704		5.799988E-9	1.100000E-8	1.099999E-8	
1439558825.880	20150814_152705		5.799988E-9	1.100000E-8	9.999992E-9	
1439558827.484	20150814_152707		5.799988E-9	1.100000E-8	9.999992E-9	
1439558829.007	20150814_152709		5.799988E-9	1.100000E-8	9.999992E-9	
1439558829.856	20150814_152709		5.799988E-9	1.100000E-8	9.999992E-9	
1439558831.057	20150814_152711		5.899988E-9	1.100000E-8	9.999992E-9	
1439558831.693	20150814_152711		5.899988E-9	1.100000E-8	9.999992E-9	
1439558833.069	20150814_152713		5.799988E-9	1.100000E-8	9.999992E-9	
1439558834.279	20150814_152714		5.899988E-9	1.100000E-8	9.999992E-9	
1439558835.482	20150814_152715		5.899988E-9	1.100000E-8	1.099999E-8	
1439558836.694	20150814_152716		5.899988E-9	1.100000E-8	1.099999E-8	
1439558837.897	20150814_152717		5.899988E-9	1.100000E-8	1.099999E-8	
1439558839.495	20150814_152719		5.799988E-9	1.100000E-8	1.099999E-8	
1439558839.898	20150814_152719		5.799988E-9	1.100000E-8	1.099999E-8	
1439558841.497	20150814_152721		5.899988E-9	1.100000E-8	1.099999E-8	
1439558842.077	20150814_152722		5.899988E-9	1.100000E-8	1.099999E-8	
1439558843.280	20150814_152723		5.799988E-9	1.100000E-8	1.099999E-8	
1439558844.493	20150814_152724		5.799988E-9	1.100000E-8	9.999992E-9	
1439558845.696	20150814_152725		5.799988E-9	1.100000E-8	9.999992E-9	
1439558846.116	20150814_152726		5.799988E-9	1.100000E-8	9.999992E-9	
1439558846.935	20150814_152726		5.899988E-9	1.100000E-8	9.999992E-9	
1439558848.151	20150814_152728		5.999988E-9	1.100000E-8	9.999992E-9	
1439558848.953	20150814_152728		5.799988E-9	1.100000E-8	9.999992E-9	
1439558850.544	20150814_152730		5.899988E-9	1.100000E-8	9.999992E-9	
1439558850.792	20150814_152730		5.899988E-9	1.100000E-8	9.999992E-9	
1439558852.145	20150814_152732		5.799988E-9	1.100000E-8	9.999992E-9	
1439558852.946	20150814_152732		5.799988E-9	1.100000E-8	9.999992E-9	
1439558854.550	20150814_152734		5.899988E-9	1.100000E-8	9.999992E-9	
1439558855.553	20150814_152735		5.799988E-9	9.999992E-9	9.999992E-9	
1439558856.557	20150814_152736		5.999988E-9	9.999992E-9	9.999992E-9	
1439558858.560	20150814_152738		5.899988E-9	9.999992E-9	9.999992E-9	
1439558860.563	20150814_152740		5.899988E-9	9.999992E-9	1.099999E-8	
1439558862.543	20150814_152742		5.899988E-9	1.099999E-8	1.099999E-8	
1439558863.547	20150814_152743		5.799988E-9	1.099999E-8	1.099999E-8	
1439558864.551	20150814_152744		5.899988E-9	1.099999E-8	1.099999E-8	
1439558865.554	20150814_152745		5.799988E-9	1.099999E-8	1.099999E-8	
1439558867.575	20150814_152747		5.999988E-9	1.099999E-8	1.099999E-8	
1439558869.578	20150814_152749		5.999988E-9	1.099999E-8	1.099999E-8	
1439558870.582	20150814_152750		5.999988E-9	1.099999E-8	1.099999E-8	
1439558872.546	20150814_152752		5.899988E-9	1.099999E-8	1.099999E-8	
