acqUNIXTime	acqDateTimestamp	TT900(°C)	VGI_2(mbar)	TT909(°C)	VGI_1(mbar)	
1439559349.443	20150814_153549		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559349.843	20150814_153549		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439559351.588	20150814_153551		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559352.835	20150814_153552		8.5556	5.799988E-9	292.4036	1.099999E-8	
1439559354.941	20150814_153554		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559356.122	20150814_153556		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559356.676	20150814_153556		8.5556	5.799988E-9	292.4036	1.099999E-8	
1439559357.882	20150814_153557		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559359.900	20150814_153559		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559362.076	20150814_153602		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559363.255	20150814_153603		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559364.356	20150814_153604		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439559365.462	20150814_153605		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559367.636	20150814_153607		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559368.597	20150814_153608		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559369.770	20150814_153609		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439559371.563	20150814_153611		8.5556	5.799988E-9	292.4036	1.099999E-8	
1439559373.544	20150814_153613		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559375.577	20150814_153615		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559376.679	20150814_153616		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439559378.861	20150814_153618		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559380.901	20150814_153620		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559382.004	20150814_153622		8.5556	5.899988E-9	292.4036	9.999992E-9	
1439559382.764	20150814_153622		8.5556	5.799988E-9	292.4036	9.999992E-9	
1439559384.897	20150814_153624		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559386.078	20150814_153626		8.5556	5.899988E-9	292.4036	1.099999E-8	
1439559386.817	20150814_153626		8.5556	5.999988E-9	292.4036	1.099999E-8	
