acqUNIXTime	acqDateTimestamp	VGI_2(mbar)	VGI_1(mbar)	
1439559426.566	20150814_153706		5.899988E-9	1.099999E-8	
1439559427.566	20150814_153707		5.899988E-9	9.999992E-9	
1439559428.566	20150814_153708		5.799988E-9	9.999992E-9	
1439559429.586	20150814_153709		5.899988E-9	9.999992E-9	
1439559430.586	20150814_153710		5.799988E-9	9.999992E-9	
1439559431.586	20150814_153711		5.799988E-9	1.099999E-8	
1439559432.586	20150814_153712		5.799988E-9	9.999992E-9	
1439559433.516	20150814_153713		5.899988E-9	9.999992E-9	
1439559434.514	20150814_153714		5.699988E-9	1.099999E-8	
1439559435.515	20150814_153715		5.899988E-9	9.999992E-9	
1439559436.515	20150814_153716		5.899988E-9	1.099999E-8	
1439559436.752	20150814_153716		5.899988E-9	9.999992E-9	
1439559437.752	20150814_153717		5.999988E-9	1.099999E-8	
1439559438.752	20150814_153718		5.899988E-9	1.099999E-8	
1439559439.752	20150814_153719		5.799988E-9	1.099999E-8	
1439559440.752	20150814_153720		5.899988E-9	1.099999E-8	
1439559441.752	20150814_153721		5.699988E-9	1.099999E-8	
1439559442.751	20150814_153722		5.899988E-9	1.099999E-8	
1439559443.751	20150814_153723		5.799988E-9	1.099999E-8	
1439559444.751	20150814_153724		5.799988E-9	9.999992E-9	
1439559445.751	20150814_153725		5.899988E-9	9.999992E-9	
1439559446.751	20150814_153726		5.799988E-9	9.999992E-9	
1439559447.751	20150814_153727		5.899988E-9	9.999992E-9	
1439559448.751	20150814_153728		5.799988E-9	9.999992E-9	
1439559449.751	20150814_153729		5.899988E-9	9.999992E-9	
1439559450.751	20150814_153730		5.899988E-9	9.999992E-9	
1439559451.751	20150814_153731		5.899988E-9	1.099999E-8	
1439559452.509	20150814_153732		5.699988E-9	1.099999E-8	
1439559453.509	20150814_153733		5.899988E-9	9.999992E-9	
1439559454.509	20150814_153734		5.899988E-9	1.099999E-8	
1439559455.509	20150814_153735		5.899988E-9	1.099999E-8	
1439559456.509	20150814_153736		5.899988E-9	1.099999E-8	
1439559456.627	20150814_153736		5.899988E-9	9.999992E-9	
1439559457.627	20150814_153737		5.799988E-9	1.099999E-8	
1439559458.627	20150814_153738		5.899988E-9	1.099999E-8	
1439559459.626	20150814_153739		5.899988E-9	9.999992E-9	
1439559460.626	20150814_153740		5.899988E-9	1.099999E-8	
1439559461.503	20150814_153741		5.899988E-9	9.999992E-9	
1439559462.504	20150814_153742		5.999988E-9	1.099999E-8	
1439559463.504	20150814_153743		5.999988E-9	1.099999E-8	
1439559464.504	20150814_153744		5.899988E-9	1.099999E-8	
1439559465.504	20150814_153745		5.899988E-9	1.099999E-8	
1439559465.853	20150814_153745		5.899988E-9	1.099999E-8	
1439559466.653	20150814_153746		5.799988E-9	9.999992E-9	
1439559467.653	20150814_153747		6.099987E-9	1.099999E-8	
1439559468.653	20150814_153748		5.899988E-9	1.099999E-8	
1439559469.653	20150814_153749		5.999988E-9	1.099999E-8	
1439559470.653	20150814_153750		5.899988E-9	1.099999E-8	
1439559471.653	20150814_153751		5.999988E-9	1.099999E-8	
1439559472.653	20150814_153752		5.899988E-9	1.099999E-8	
1439559473.515	20150814_153753		5.899988E-9	1.099999E-8	
1439559474.515	20150814_153754		5.999988E-9	9.999992E-9	
1439559475.515	20150814_153755		5.999988E-9	1.099999E-8	
