acqUNIXTime	acqDateTimestamp	VGI_2(mbar)	TT909(°C)	VGI_1(mbar)	
1439559546.424	20150814_153906		5.799988E-9	292.4036	9.999992E-9	
1439559547.505	20150814_153907		5.799988E-9	292.4036	9.999992E-9	
1439559548.505	20150814_153908		5.799988E-9	292.4036	1.099999E-8	
1439559549.505	20150814_153909		5.799988E-9	292.4036	9.999992E-9	
1439559550.505	20150814_153910		5.899988E-9	292.4036	9.999992E-9	
1439559551.505	20150814_153911		5.799988E-9	292.4036	9.999992E-9	
1439559552.505	20150814_153912		5.899988E-9	292.4036	9.999992E-9	
1439559553.505	20150814_153913		5.799988E-9	292.4036	9.999992E-9	
1439559553.707	20150814_153913		5.799988E-9	292.4036	9.999992E-9	
1439559554.707	20150814_153914		5.899988E-9	292.4036	1.099999E-8	
1439559555.795	20150814_153915		5.899988E-9	292.4036	1.099999E-8	
1439559556.795	20150814_153916		5.899988E-9	292.4036	1.099999E-8	
1439559557.828	20150814_153917		5.899988E-9	292.4036	9.999992E-9	
1439559558.922	20150814_153918		5.899988E-9	292.4036	1.099999E-8	
1439559559.922	20150814_153919		5.899988E-9	292.4036	9.999992E-9	
1439559560.560	20150814_153920		5.999988E-9	292.4036	9.999992E-9	
1439559561.560	20150814_153921		5.799988E-9	292.4036	1.099999E-8	
1439559562.560	20150814_153922		5.899988E-9	292.4036	1.099999E-8	
1439559563.560	20150814_153923		5.899988E-9	292.4036	1.099999E-8	
1439559564.559	20150814_153924		5.899988E-9	292.4036	1.099999E-8	
1439559565.559	20150814_153925		5.899988E-9	292.4036	9.999992E-9	
1439559566.559	20150814_153926		5.899988E-9	292.4036	1.099999E-8	
1439559567.505	20150814_153927		5.799988E-9	292.4036	1.099999E-8	
1439559568.592	20150814_153928		5.899988E-9	292.4036	9.999992E-9	
1439559569.592	20150814_153929		5.899988E-9	292.4036	9.999992E-9	
1439559570.592	20150814_153930		5.999988E-9	292.4036	9.999992E-9	
1439559571.516	20150814_153931		5.799988E-9	292.4036	9.999992E-9	
1439559572.516	20150814_153932		5.899988E-9	292.4036	1.099999E-8	
1439559573.516	20150814_153933		5.899988E-9	292.4036	1.099999E-8	
1439559574.506	20150814_153934		5.899988E-9	292.4036	9.999992E-9	
1439559575.506	20150814_153935		5.999988E-9	292.4036	1.099999E-8	
1439559576.506	20150814_153936		5.999988E-9	292.4036	1.099999E-8	
