acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	
1439565073.013	20150814_171113				
1439565073.413	20150814_171113		1.000000E+4	1.300000E-8	
1439565073.817	20150814_171113		1.000000E+4	1.300000E-8	
1439565074.817	20150814_171114		1.300000E-8	1.000000E+4	
1439565075.817	20150814_171115		1.300000E-8	1.000000E+4	
1439565076.817	20150814_171116		1.300000E-8	1.000000E+4	
1439565077.817	20150814_171117		1.300000E-8	1.000000E+4	
1439565078.817	20150814_171118		1.300000E-8	1.000000E+4	
1439565079.816	20150814_171119		1.300000E-8	1.000000E+4	
1439565080.816	20150814_171120		1.300000E-8	1.000000E+4	
1439565081.817	20150814_171121		1.300000E-8	1.000000E+4	
1439565082.817	20150814_171122		1.300000E-8	1.000000E+4	
1439565083.817	20150814_171123		1.300000E-8	1.000000E+4	
1439565084.316	20150814_171124		1.000000E+4	1.300000E-8	
1439565085.316	20150814_171125		1.300000E-8	1.000000E+4	
1439565086.316	20150814_171126		1.300000E-8	1.000000E+4	
1439565087.316	20150814_171127		1.300000E-8	1.000000E+4	
1439565088.316	20150814_171128		1.300000E-8	1.000000E+4	
1439565089.316	20150814_171129		1.300000E-8	1.000000E+4	
1439565090.316	20150814_171130		1.300000E-8	1.000000E+4	
1439565090.722	20150814_171130		1.000000E+4	1.300000E-8	
1439565091.723	20150814_171131		1.300000E-8	1.000000E+4	
1439565092.723	20150814_171132		1.300000E-8	1.000000E+4	
1439565093.723	20150814_171133		1.300000E-8	1.000000E+4	
1439565094.723	20150814_171134		1.300000E-8	1.000000E+4	
1439565095.723	20150814_171135		1.300000E-8	1.000000E+4	
1439565096.196	20150814_171136		1.000000E+4	1.300000E-8	
1439565097.195	20150814_171137		1.300000E-8	1.000000E+4	
1439565098.195	20150814_171138		1.300000E-8	1.000000E+4	
1439565098.589	20150814_171138		1.000000E+4	1.300000E-8	
1439565099.589	20150814_171139		1.300000E-8	1.000000E+4	
1439565099.794	20150814_171139		1.000000E+4	1.300000E-8	
1439565100.794	20150814_171140		1.300000E-8	1.000000E+4	
1439565101.795	20150814_171141		1.300000E-8	1.000000E+4	
1439565102.795	20150814_171142		1.300000E-8	1.000000E+4	
1439565103.501	20150814_171143		1.000000E+4	1.300000E-8	
1439565104.501	20150814_171144		1.300000E-8	1.000000E+4	
1439565105.501	20150814_171145		1.300000E-8	1.000000E+4	
1439565105.926	20150814_171145		1.000000E+4	1.300000E-8	
1439565106.536	20150814_171146		1.000000E+4	1.300000E-8	
1439565107.331	20150814_171147		1.000000E+4	1.300000E-8	
1439565107.731	20150814_171147		1.000000E+4	1.300000E-8	
1439565108.131	20150814_171148		1.000000E+4	1.300000E-8	
1439565108.532	20150814_171148		1.000000E+4	1.300000E-8	
1439565109.532	20150814_171149		1.300000E-8	1.000000E+4	
1439565110.532	20150814_171150		1.300000E-8	1.000000E+4	
1439565111.533	20150814_171151		1.300000E-8	1.000000E+4	
1439565112.533	20150814_171152		1.300000E-8	1.000000E+4	
1439565112.960	20150814_171152		1.000000E+4	1.300000E-8	
1439565113.364	20150814_171153		1.000000E+4	1.300000E-8	
1439565114.064	20150814_171154		1.000000E+4	1.300000E-8	
