acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_1(mbar)	VGHB_41752(mbar)	
1439565127.517	20150814_171207		1.000000E+4	1.300000E-8			
1439565127.918	20150814_171207			1.300000E-8	1.000000E+4	9.999992E-9	
1439565128.918	20150814_171208		1.300000E-8	1.000000E+4	9.999992E-9	1.100000E-8	
1439565129.918	20150814_171209		1.300000E-8	1.000000E+4	9.999992E-9	1.100000E-8	
1439565130.918	20150814_171210		1.300000E-8	1.000000E+4	1.100000E-8	9.999992E-9	
1439565131.723	20150814_171211		9.999992E-9	1.300000E-8	1.100000E-8	1.000000E+4	
1439565132.723	20150814_171212		1.300000E-8	1.099999E-8	1.100000E-8	1.000000E+4	
1439565133.723	20150814_171213		1.099999E-8	1.000000E+4	1.100000E-8	1.300000E-8	
1439565134.723	20150814_171214		1.300000E-8	1.099999E-8	1.100000E-8	1.000000E+4	
1439565135.723	20150814_171215		1.099999E-8	1.000000E+4	1.100000E-8	1.300000E-8	
1439565136.168	20150814_171216		1.099999E-8	1.300000E-8	1.100000E-8	1.000000E+4	
1439565137.168	20150814_171217		1.099999E-8	1.300000E-8	1.000000E+4	1.100000E-8	
1439565138.168	20150814_171218		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565139.168	20150814_171219		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565140.168	20150814_171220		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565141.169	20150814_171221		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565142.169	20150814_171222		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565143.169	20150814_171223		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565144.169	20150814_171224		1.099999E-8	1.300000E-8	1.000000E+4	1.100000E-8	
1439565145.169	20150814_171225		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565146.169	20150814_171226		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565147.169	20150814_171227		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565148.169	20150814_171228		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565149.168	20150814_171229		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565150.172	20150814_171230		9.999992E-9	1.300000E-8	1.000000E+4	1.100000E-8	
1439565151.229	20150814_171231		1.099999E-8	1.300000E-8	1.100000E-8	1.300000E-8	
1439565152.233	20150814_171232		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565153.341	20150814_171233		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565154.345	20150814_171234		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565155.351	20150814_171235		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565156.355	20150814_171236		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565157.359	20150814_171237		1.300000E-8	1.099999E-8	1.300000E-8	1.300000E-8	
1439565158.359	20150814_171238		1.099999E-8	1.000000E+4	1.300000E-8	1.300000E-8	
1439565159.363	20150814_171239		1.099999E-8	1.300000E-8	1.000000E+4	1.300000E-8	
1439565160.369	20150814_171240		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565161.373	20150814_171241		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565162.379	20150814_171242		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565163.382	20150814_171243		1.099999E-8	1.300000E-8	1.300000E-8	1.300000E-8	
1439565164.388	20150814_171244		9.999992E-9	1.300000E-8	1.300000E-8	1.300000E-8	
1439565165.392	20150814_171245		9.999992E-9	1.300000E-8	1.300000E-8	1.300000E-8	
1439565166.397	20150814_171246		9.999992E-9	1.300000E-8	1.300000E-8	1.300000E-8	
1439565167.804	20150814_171247		9.999992E-9	1.300000E-8	1.300000E-8	1.300000E-8	
1439565168.810	20150814_171248		9.999992E-9	1.300000E-8	9.999992E-9	1.300000E-8	
1439565169.823	20150814_171249		9.999992E-9	9.999992E-9	1.300000E-8	1.300000E-8	
