acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	TT900(°C)	VGI_1(mbar)	VGHB_41752(mbar)	
1439565329.779	20150814_171529		9.999992E-9	1.300000E-8	8.5556	1.300000E-8	1.000000E+4	
1439565330.779	20150814_171530		1.000000E+4	1.300000E-8	8.5556	9.999992E-9	1.100000E-8	
1439565331.780	20150814_171531		1.099999E-8	1.000000E+4	8.5556	1.300000E-8	1.100000E-8	
1439565332.780	20150814_171532		1.300000E-8	1.099999E-8	8.5556	1.000000E+4	1.100000E-8	
1439565333.780	20150814_171533		9.999992E-9	1.000000E+4	8.5556	1.300000E-8	1.100000E-8	
1439565334.780	20150814_171534		9.999992E-9	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565335.780	20150814_171535		1.300000E-8	1.099999E-8	8.5556	1.000000E+4	1.100000E-8	
1439565336.780	20150814_171536		9.999992E-9	1.000000E+4	8.5556	1.300000E-8	1.100000E-8	
1439565337.780	20150814_171537		9.999992E-9	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565338.780	20150814_171538		1.099999E-8	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565339.780	20150814_171539		1.300000E-8	1.099999E-8	8.5556	1.000000E+4	1.100000E-8	
1439565340.780	20150814_171540		1.099999E-8	1.000000E+4	8.5556	1.300000E-8	1.100000E-8	
1439565341.780	20150814_171541		1.099999E-8	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565342.780	20150814_171542		9.999992E-9	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565343.780	20150814_171543		9.999992E-9	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565344.802	20150814_171544		9.999992E-9	1.000000E+4	8.5556	1.300000E-8	1.100000E-8	
1439565345.802	20150814_171545		9.999992E-9	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565346.802	20150814_171546		1.099999E-8	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565347.802	20150814_171547		9.999992E-9	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565348.802	20150814_171548		9.999992E-9	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565349.802	20150814_171549		1.099999E-8	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565350.802	20150814_171550		1.099999E-8	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
1439565351.803	20150814_171551		1.099999E-8	1.300000E-8	8.5556	1.000000E+4	1.100000E-8	
