acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	TT900(°C)	TT909(°C)	VGI_1(mbar)	VGHB_41752(mbar)	
1439565419.160	20150814_171659		0.000000E+0	0.000000E+0	8.5556	292.4036	0.000000E+0	0.000000E+0	
1439565420.099	20150814_171700		1.300000E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	9.999992E-9	
1439565421.043	20150814_171701		1.000000E+4	1.099999E-8	8.5556	292.4036	1.100000E-8	1.100000E-8	
1439565421.981	20150814_171701		1.000000E+4	1.100000E-8	8.5556	292.4036	9.999992E-9	1.099999E-8	
1439565422.915	20150814_171702		1.000000E+4	1.300000E-8	8.5556	292.4036	1.100000E-8	1.300000E-8	
1439565423.848	20150814_171703		1.000000E+4	1.000000E+4	8.5556	292.4036	1.300000E-8	9.999992E-9	
1439565424.848	20150814_171704		1.099999E-8	1.300000E-8	8.5556	292.4036	1.100000E-8	1.100000E-8	
1439565425.848	20150814_171705		9.999992E-9	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565426.848	20150814_171706		1.300000E-8	1.099999E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565427.848	20150814_171707		1.099999E-8	1.000000E+4	8.5556	292.4036	1.100000E-8	1.300000E-8	
1439565428.758	20150814_171708		9.999992E-9	1.300000E-8	8.5556	292.4036	1.100000E-8	1.000000E+4	
1439565429.758	20150814_171709		1.300000E-8	9.999992E-9	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565430.758	20150814_171710		9.999992E-9	1.000000E+4	8.5556	292.4036	1.300000E-8	1.100000E-8	
1439565431.759	20150814_171711		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565432.759	20150814_171712		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565433.759	20150814_171713		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565434.759	20150814_171714		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565435.807	20150814_171715		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565436.807	20150814_171716		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565437.807	20150814_171717		9.999992E-9	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565438.807	20150814_171718		9.999992E-9	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565439.807	20150814_171719		9.999992E-9	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565440.807	20150814_171720		9.999992E-9	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565441.808	20150814_171721		1.300000E-8	9.999992E-9	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565442.808	20150814_171722		9.999992E-9	1.000000E+4	8.5556	292.4036	1.300000E-8	1.100000E-8	
1439565443.808	20150814_171723		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565444.808	20150814_171724		9.999992E-9	1.000000E+4	8.5556	292.4036	1.300000E-8	1.100000E-8	
1439565445.808	20150814_171725		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565446.807	20150814_171726		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565447.807	20150814_171727		1.300000E-8	1.099999E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565448.807	20150814_171728		1.099999E-8	1.000000E+4	8.5556	292.4036	1.300000E-8	1.100000E-8	
1439565449.807	20150814_171729		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565450.807	20150814_171730		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565451.812	20150814_171731		1.099999E-8	1.300000E-8	8.5556	292.4036	1.000000E+4	1.100000E-8	
1439565452.818	20150814_171732		9.999992E-9	1.300000E-8	8.5556	292.4036	1.100000E-8	1.300000E-8	
1439565453.818	20150814_171733		1.300000E-8	1.099999E-8	8.5556	292.4036	1.300000E-8	1.300000E-8	
1439565454.822	20150814_171734		1.099999E-8	1.000000E+4	8.5556	292.4036	1.300000E-8	1.300000E-8	
1439565455.824	20150814_171735		1.099999E-8	1.000000E+4	8.5556	292.4036	1.099999E-8	1.300000E-8	
1439565456.829	20150814_171736		9.999992E-9	1.000000E+4	8.5556	292.4036	1.300000E-8	1.099999E-8	
1439565457.832	20150814_171737		1.000000E+4	9.999992E-9	8.5556	292.4036	9.999992E-9	1.099999E-8	
1439565458.838	20150814_171738		9.999992E-9	1.099999E-8	8.5556	292.4036	9.999992E-9	1.000000E+4	
1439565459.842	20150814_171739		9.999992E-9	1.300000E-8	8.5556	292.4036	1.099999E-8	1.000000E+4	
1439565460.861	20150814_171740		9.999992E-9	1.300000E-8	8.5556	292.4036	1.000000E+4	1.300000E-8	
1439565461.866	20150814_171741		9.999992E-9	1.300000E-8	8.5556	292.4036	1.300000E-8	1.300000E-8	
1439565462.872	20150814_171742		1.300000E-8	9.999992E-9	8.5556	292.4036	9.999992E-9	1.300000E-8	
1439565463.873	20150814_171743		9.999992E-9	9.999992E-9	8.5556	292.4036	1.300000E-8	1.300000E-8	
1439565464.878	20150814_171744		9.999992E-9	9.999992E-9	8.5556	292.4036	1.300000E-8	9.999992E-9	
1439565465.878	20150814_171745		9.999992E-9	9.999992E-9	8.5556	292.4036	9.999992E-9	9.999992E-9	
1439565466.882	20150814_171746		1.099999E-8	1.300000E-8	8.5556	292.4036	9.999992E-9	9.999992E-9	
1439565467.888	20150814_171747		9.999992E-9	1.300000E-8	8.5556	292.4036	9.999992E-9	1.300000E-8	
1439565468.888	20150814_171748		1.300000E-8	9.999992E-9	8.5556	292.4036	1.300000E-8	1.300000E-8	
1439565469.888	20150814_171749		9.999992E-9	1.000000E+4	8.5556	292.4036	1.300000E-8	1.300000E-8	
