acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439650082.516	20150815_164802						8.5556	
1439650083.516	20150815_164803		8.800000E-10	9.999992E-9	1.000000E+4	5.399989E-9	8.5556	
1439650084.516	20150815_164804		9.999992E-9	8.800000E-10	1.000000E+4	5.399989E-9	8.5556	
1439650085.516	20150815_164805		8.800000E-10	9.999992E-9	5.499988E-9	1.000000E+4	8.5556	
1439650086.347	20150815_164806		1.000000E+4	5.499988E-9	8.800000E-10	9.999992E-9	8.5556	
1439650087.347	20150815_164807		8.800000E-10	9.999992E-9	1.000000E+4	5.499988E-9	8.5556	
1439650088.225	20150815_164808		5.599988E-9	8.500000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650089.082	20150815_164809		8.500000E-10	8.500000E-10	5.599988E-9	9.999992E-9	8.5556	
1439650090.082	20150815_164810		5.599988E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650090.897	20150815_164810		8.500000E-10	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650091.753	20150815_164811		1.000000E+4	5.399989E-9	9.999992E-9	1.000000E+4	8.5556	
1439650092.619	20150815_164812		5.399989E-9	1.000000E+4	8.800000E-10	9.999992E-9	8.5556	
1439650093.503	20150815_164813		8.800000E-10	8.800000E-10	5.399989E-9	1.000000E+4	8.5556	
1439650094.366	20150815_164814		9.999992E-9	5.399989E-9	9.999992E-9	1.000000E+4	8.5556	
1439650095.233	20150815_164815		5.399989E-9	8.800000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650096.096	20150815_164816		8.700000E-10	8.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650097.110	20150815_164817		9.999992E-9	5.399989E-9	1.000000E+4	1.000000E+4	8.5556	
1439650097.971	20150815_164817		8.700000E-10	8.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650098.971	20150815_164818		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650099.843	20150815_164819		8.700000E-10	8.700000E-10	5.299989E-9	9.999992E-9	8.5556	
1439650100.843	20150815_164820		5.299989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650101.715	20150815_164821		5.299989E-9	8.700000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650102.572	20150815_164822		8.600000E-10	8.600000E-10	5.299989E-9	9.999992E-9	8.5556	
1439650103.572	20150815_164823		5.299989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650104.456	20150815_164824		8.600000E-10	8.600000E-10	5.299989E-9	9.999992E-9	8.5556	
1439650105.461	20150815_164825		5.299989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650106.338	20150815_164826		8.600000E-10	8.600000E-10	5.299989E-9	9.999992E-9	8.5556	
1439650107.197	20150815_164827		5.299989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439650108.053	20150815_164828		8.600000E-10	5.299989E-9	8.600000E-10	1.000000E+4	8.5556	
1439650108.917	20150815_164828		9.999992E-9	5.399989E-9	9.999992E-9	1.000000E+4	8.5556	
1439650109.773	20150815_164829		5.299989E-9	8.600000E-10	9.999992E-9	1.000000E+4	8.5556	
1439650110.625	20150815_164830		8.700000E-10	8.700000E-10	5.299989E-9	9.999992E-9	8.5556	
1439650111.625	20150815_164831		5.399989E-9	9.999992E-9	1.000000E+4	1.000000E+4	8.5556	
1439650112.498	20150815_164832		8.700000E-10	8.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650113.504	20150815_164833		5.399989E-9	1.000000E+4	9.999992E-9	1.000000E+4	8.5556	
1439650114.507	20150815_164834		8.700000E-10	5.399989E-9	8.700000E-10	9.999992E-9	8.5556	
1439650115.507	20150815_164835		5.399989E-9	9.999992E-9	8.700000E-10	1.000000E+4	8.5556	
1439650116.523	20150815_164836		8.700000E-10	8.700000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650117.523	20150815_164837		5.399989E-9	9.999992E-9	5.399989E-9	8.700000E-10	8.5556	
1439650118.538	20150815_164838		8.700000E-10	5.399989E-9	8.700000E-10	9.999992E-9	8.5556	
1439650119.543	20150815_164839		5.399989E-9	1.000000E+4	5.399989E-9	5.399989E-9	8.5556	
1439650120.550	20150815_164840		8.500000E-10	8.500000E-10	5.399989E-9	1.000000E+4	8.5556	
1439650121.550	20150815_164841		5.399989E-9	9.999992E-9	5.399989E-9	5.399989E-9	8.5556	
1439650122.560	20150815_164842		8.500000E-10	5.399989E-9	8.500000E-10	9.999992E-9	8.5556	
1439650123.560	20150815_164843		5.399989E-9	5.399989E-9	8.500000E-10	5.399989E-9	8.5556	
1439650124.579	20150815_164844		8.500000E-10	5.399989E-9	8.500000E-10	5.399989E-9	8.5556	
1439650125.579	20150815_164845		5.399989E-9	5.399989E-9	8.500000E-10	8.500000E-10	8.5556	
1439650126.594	20150815_164846		8.500000E-10	8.500000E-10	5.499988E-9	5.399989E-9	8.5556	
1439650127.594	20150815_164847		8.500000E-10	5.499988E-9	5.499988E-9	8.500000E-10	8.5556	
1439650128.599	20150815_164848		5.499988E-9	8.500000E-10	9.999992E-9	5.499988E-9	8.5556	
1439650129.602	20150815_164849		8.500000E-10	5.499988E-9	8.900000E-10	9.999992E-9	8.5556	
1439650130.602	20150815_164850		5.499988E-9	9.999992E-9	8.900000E-10	9.999992E-9	8.5556	
1439650131.607	20150815_164851		5.499988E-9	8.900000E-10	9.999992E-9	8.900000E-10	8.5556	
1439650132.611	20150815_164852		8.900000E-10	8.900000E-10	5.499988E-9	8.900000E-10	8.5556	
1439650133.611	20150815_164853		5.499988E-9	9.999992E-9	5.499988E-9	9.999992E-9	8.5556	
1439650134.613	20150815_164854		8.900000E-10	9.999992E-9	5.499988E-9	8.900000E-10	8.5556	
1439650135.613	20150815_164855		5.499988E-9	9.999992E-9	5.499988E-9	5.499988E-9	8.5556	
1439650136.631	20150815_164856		8.900000E-10	8.900000E-10	5.499988E-9	5.499988E-9	8.5556	
1439650137.631	20150815_164857		5.499988E-9	8.900000E-10	5.499988E-9	9.999992E-9	8.5556	
1439650138.636	20150815_164858		5.499988E-9	8.900000E-10	8.900000E-10	5.499988E-9	8.5556	
1439650139.640	20150815_164859		8.900000E-10	5.499988E-9	8.900000E-10	8.900000E-10	8.5556	
1439650140.640	20150815_164900		5.499988E-9	5.499988E-9	8.900000E-10	8.900000E-10	8.5556	
1439650141.644	20150815_164901		8.800000E-10	5.499988E-9	8.800000E-10	9.999992E-9	8.5556	
1439650142.644	20150815_164902		5.499988E-9	5.399989E-9	8.800000E-10	8.900000E-10	8.5556	
1439650143.647	20150815_164903		8.800000E-10	5.399989E-9	8.800000E-10	9.999992E-9	8.5556	
1439650144.647	20150815_164904		9.999992E-9	5.399989E-9	8.800000E-10	8.800000E-10	8.5556	
1439650145.650	20150815_164905		8.800000E-10	8.800000E-10	5.399989E-9	9.999992E-9	8.5556	
1439650146.650	20150815_164906		5.399989E-9	9.999992E-9	5.399989E-9	8.800000E-10	8.5556	
1439650147.653	20150815_164907		8.800000E-10	5.399989E-9	8.800000E-10	9.999992E-9	8.5556	
1439650148.653	20150815_164908		5.399989E-9	5.399989E-9	8.800000E-10	5.399989E-9	8.5556	
1439650149.657	20150815_164909		8.800000E-10	8.800000E-10	5.399989E-9	5.399989E-9	8.5556	
1439650150.657	20150815_164910		5.399989E-9	8.800000E-10	5.399989E-9	8.800000E-10	8.5556	
1439650151.671	20150815_164911		8.800000E-10	5.399989E-9	8.800000E-10	8.800000E-10	8.5556	
1439650152.671	20150815_164912		5.399989E-9	5.399989E-9	8.800000E-10	5.399989E-9	8.5556	
1439650153.675	20150815_164913		8.800000E-10	8.800000E-10	5.399989E-9	5.399989E-9	8.5556	
1439650154.675	20150815_164914		5.399989E-9	8.800000E-10	5.399989E-9	8.800000E-10	8.5556	
1439650155.675	20150815_164915		8.800000E-10	8.800000E-10	5.399989E-9	8.600000E-10	8.5556	
1439650156.690	20150815_164916		1.000000E+4	5.399989E-9	8.800000E-10	5.399989E-9	8.5556	
1439650158.742	20150815_164918		5.399989E-9	8.600000E-10	5.399989E-9	8.800000E-10	8.5556	
1439650159.749	20150815_164919		8.600000E-10	5.399989E-9	8.600000E-10	8.600000E-10	8.5556	
1439650160.761	20150815_164920		5.399989E-9	5.399989E-9	5.399989E-9	8.600000E-10	8.5556	
1439650161.765	20150815_164921		8.600000E-10	5.399989E-9	8.600000E-10	5.399989E-9	8.5556	
1439650162.765	20150815_164922		5.399989E-9	9.999992E-9	8.600000E-10	5.399989E-9	8.5556	
1439650163.769	20150815_164923		8.600000E-10	5.499988E-9	8.600000E-10	9.999992E-9	8.5556	
1439650164.773	20150815_164924		8.600000E-10	5.499988E-9	5.499988E-9	8.600000E-10	8.5556	
1439650165.796	20150815_164925		5.499988E-9	8.600000E-10	5.499988E-9	5.499988E-9	8.5556	
