acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(mbar)	VAC.VGI_1(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439797428.675	09:43:48 17/08/2015		7.600000E-10	4.999990E-9	-1	-1	8.5556	
1439797429.676	09:43:49 17/08/2015		7.500000E-10	9.499980E-9	-1	4.899990E-9	8.5556	
1439797430.541	09:43:50 17/08/2015		4.999990E-9	7.500000E-10	9.499980E-9	-1	8.5556	
1439797431.540	09:43:51 17/08/2015		7.500000E-10	9.499980E-9	-1	4.999990E-9	8.5556	
1439797432.540	09:43:52 17/08/2015		9.499980E-9	7.500000E-10	-1	4.999990E-9	8.5556	
1439797433.540	09:43:53 17/08/2015		9.599980E-9	7.500000E-10	-1	4.999990E-9	8.5556	
1439797434.540	09:43:54 17/08/2015		9.599980E-9	7.500000E-10	-1	4.999990E-9	8.5556	
1439797435.540	09:43:55 17/08/2015		9.599980E-9	7.500000E-10	-1	4.999990E-9	8.5556	
1439797436.540	09:43:56 17/08/2015		9.499980E-9	7.500000E-10	-1	4.999990E-9	8.5556	
1439797437.540	09:43:57 17/08/2015		9.499980E-9	7.500000E-10	-1	4.999990E-9	8.5556	
1439797438.378	09:43:58 17/08/2015		9.499980E-9	7.500000E-10	4.899990E-9	-1	8.5556	
1439797439.235	09:43:59 17/08/2015		9.499980E-9	4.899990E-9	7.500000E-10	-1	8.5556	
1439797440.099	09:44:00 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	-1	8.5556	
1439797440.954	09:44:00 17/08/2015		9.499980E-9	4.999990E-9	7.500000E-10	-1	8.5556	
1439797441.817	09:44:01 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1	8.5556	
1439797442.678	09:44:02 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1	8.5556	
1439797443.539	09:44:03 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1	8.5556	
1439797444.401	09:44:04 17/08/2015		9.599980E-9	4.999990E-9	7.500000E-10	-1	8.5556	
1439797445.260	09:44:05 17/08/2015		9.599980E-9	4.999990E-9	7.600000E-10	-1	8.5556	
1439797446.120	09:44:06 17/08/2015		7.600000E-10	7.600000E-10	9.599980E-9	4.999990E-9	8.5556	
1439797446.979	09:44:06 17/08/2015		4.999990E-9	9.599980E-9	9.599980E-9	-1	8.5556	
1439797447.835	09:44:07 17/08/2015		7.600000E-10	7.600000E-10	4.999990E-9	-1	8.5556	
1439797448.703	09:44:08 17/08/2015		5.099989E-9	9.499980E-9	9.499980E-9	-1	8.5556	
1439797449.553	09:44:09 17/08/2015		7.600000E-10	7.600000E-10	5.099989E-9	-1	8.5556	
1439797450.553	09:44:10 17/08/2015		9.499980E-9	5.099989E-9	-1	-1	8.5556	
1439797451.423	09:44:11 17/08/2015		7.600000E-10	7.600000E-10	9.499980E-9	5.099989E-9	8.5556	
1439797452.281	09:44:12 17/08/2015		5.099989E-9	9.499980E-9	9.499980E-9	-1	8.5556	
1439797453.142	09:44:13 17/08/2015		7.600000E-10	7.600000E-10	5.099989E-9	-1	8.5556	
1439797454.142	09:44:14 17/08/2015		9.499980E-9	5.099989E-9	-1	-1	8.5556	
1439797455.013	09:44:15 17/08/2015		7.600000E-10	7.600000E-10	9.499980E-9	5.099989E-9	8.5556	
1439797455.866	09:44:15 17/08/2015		5.099989E-9	9.499980E-9	9.599980E-9	-1	8.5556	
1439797456.721	09:44:16 17/08/2015		7.600000E-10	7.600000E-10	5.099989E-9	-1	8.5556	
1439797457.721	09:44:17 17/08/2015		9.599980E-9	4.999990E-9	-1	-1	8.5556	
1439797458.603	09:44:18 17/08/2015		7.600000E-10	7.500000E-10	9.599980E-9	5.099989E-9	8.5556	
1439797459.637	09:44:19 17/08/2015		5.099989E-9	9.599980E-9	9.599980E-9	-1	8.5556	
1439797460.656	09:44:20 17/08/2015		7.500000E-10	7.500000E-10	4.999990E-9	9.599980E-9	8.5556	
1439797461.656	09:44:21 17/08/2015		9.599980E-9	4.999990E-9	4.999990E-9	-1	8.5556	
1439797462.681	09:44:22 17/08/2015		7.500000E-10	7.500000E-10	9.599980E-9	4.999990E-9	8.5556	
1439797463.717	09:44:23 17/08/2015		4.999990E-9	9.599980E-9	9.599980E-9	9.599980E-9	8.5556	
1439797464.861	09:44:24 17/08/2015		7.500000E-10	7.500000E-10	4.999990E-9	9.599980E-9	8.5556	
1439797465.860	09:44:25 17/08/2015		9.499980E-9	4.999990E-9	4.999990E-9	4.999990E-9	8.5556	
1439797466.949	09:44:26 17/08/2015		7.500000E-10	9.599980E-9	9.599980E-9	4.999990E-9	8.5556	
1439797467.949	09:44:27 17/08/2015		4.999990E-9	7.500000E-10	-1	4.999990E-9	8.5556	
1439797469.007	09:44:29 17/08/2015		7.500000E-10	9.599980E-9	7.500000E-10	9.599980E-9	8.5556	
1439797470.044	09:44:30 17/08/2015		4.999990E-9	7.500000E-10	4.999990E-9	-1	8.5556	
1439797471.061	09:44:31 17/08/2015		7.500000E-10	7.500000E-10	9.599980E-9	4.999990E-9	8.5556	
1439797472.583	09:44:32 17/08/2015		4.999990E-9	9.499980E-9	9.499980E-9	9.599980E-9	8.5556	
1439797473.613	09:44:33 17/08/2015		7.500000E-10	7.500000E-10	4.999990E-9	9.499980E-9	8.5556	
1439797474.613	09:44:34 17/08/2015		9.499980E-9	5.099989E-9	4.999990E-9	4.999990E-9	8.5556	
1439797475.634	09:44:35 17/08/2015		7.500000E-10	7.600000E-10	9.499980E-9	5.099989E-9	8.5556	
1439797476.662	09:44:36 17/08/2015		5.099989E-9	9.499980E-9	9.499980E-9	9.499980E-9	8.5556	
1439797477.683	09:44:37 17/08/2015		7.500000E-10	7.600000E-10	5.099989E-9	9.499980E-9	8.5556	
1439797478.683	09:44:38 17/08/2015		9.499980E-9	5.099989E-9	5.099989E-9	4.999990E-9	8.5556	
1439797479.706	09:44:39 17/08/2015		7.600000E-10	7.600000E-10	9.499980E-9	5.099989E-9	8.5556	
1439797480.733	09:44:40 17/08/2015		5.099989E-9	9.499980E-9	9.499980E-9	9.499980E-9	8.5556	
1439797481.760	09:44:41 17/08/2015		7.600000E-10	7.600000E-10	5.099989E-9	9.499980E-9	8.5556	
