acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	
1439805901.017	12:05:01 17/08/2015		9.599980E-9	4.999990E-9	-1.00000000	8.5602	
1439805902.036	12:05:02 17/08/2015		9.499980E-9	4.999990E-9	-1.00000000	8.5602	
1439805903.036	12:05:03 17/08/2015		9.499980E-9	-1.00000000	4.999990E-9	8.5602	
1439805903.910	12:05:03 17/08/2015		9.599980E-9	4.899990E-9	-1.00000000	8.5602	
1439805904.765	12:05:04 17/08/2015		9.799979E-9	4.899990E-9	-1.00000000	8.5602	
1439805905.784	12:05:05 17/08/2015		9.599980E-9	4.899990E-9	-1.00000000	8.5602	
1439805906.636	12:05:06 17/08/2015		9.599980E-9	5.099989E-9	5.099989E-9	8.5602	
1439805907.636	12:05:07 17/08/2015		9.099981E-9	-1.00000000	-1.00000000	8.5602	
1439805908.504	12:05:08 17/08/2015		8.399983E-9	5.099989E-9	-1.00000000	8.5602	
1439805909.504	12:05:09 17/08/2015		8.499982E-9	-1.00000000	5.099989E-9	8.5602	
1439805910.369	12:05:10 17/08/2015		8.599982E-9	5.099989E-9	-1.00000000	8.5602	
1439805911.369	12:05:11 17/08/2015		9.599980E-9	4.999990E-9	-1.00000000	8.5602	
1439805912.369	12:05:12 17/08/2015		9.599980E-9	4.999990E-9	4.999990E-9	8.5602	
1439805913.369	12:05:13 17/08/2015		9.599980E-9	-1.00000000	-1.00000000	8.5602	
1439805914.260	12:05:14 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5602	
1439805915.260	12:05:15 17/08/2015		9.699980E-9	-1.00000000	4.999990E-9	8.5602	
1439805916.165	12:05:16 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5602	
1439805917.157	12:05:17 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5602	
1439805918.153	12:05:18 17/08/2015		9.599980E-9	5.099989E-9	-1.00000000	8.5602	
1439805919.171	12:05:19 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5602	
1439805920.171	12:05:20 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5602	
1439805921.162	12:05:21 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5602	
1439805922.171	12:05:22 17/08/2015		9.499980E-9	5.099989E-9	-1.00000000	8.5602	
1439805923.156	12:05:23 17/08/2015		9.499980E-9	5.099989E-9	-1.00000000	8.5602	
1439805924.171	12:05:24 17/08/2015		9.599980E-9	-1.00000000	5.099989E-9	8.5602	
1439805925.154	12:05:25 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5602	
1439805926.155	12:05:26 17/08/2015		9.199981E-9	5.099989E-9	-1.00000000	8.5602	
1439805927.040	12:05:27 17/08/2015		9.199981E-9	4.999990E-9	-1.00000000	8.5602	
1439805927.909	12:05:27 17/08/2015		9.799979E-9	4.999990E-9	-1.00000000	8.5602	
1439805928.762	12:05:28 17/08/2015		9.499980E-9	4.999990E-9	-1.00000000	8.5602	
1439805929.618	12:05:29 17/08/2015		9.599980E-9	4.999990E-9	-1.00000000	8.5602	
1439805930.473	12:05:30 17/08/2015		9.699980E-9	4.999990E-9	-1.00000000	8.5602	
