acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439817706.729	15:21:46 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817707.678	15:21:47 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817708.678	15:21:48 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817709.650	15:21:49 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817710.591	15:21:50 17/08/2015		9.599980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817711.536	15:21:51 17/08/2015		9.299980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817712.493	15:21:52 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817713.436	15:21:53 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5787	0.3472	
1439817714.436	15:21:54 17/08/2015		9.799979E-9	-1.00000000	4.999990E-9	8.5787	0.3472	
1439817715.407	15:21:55 17/08/2015		9.899980E-9	4.999990E-9	-1.00000000	8.5787	0.3472	
1439817716.351	15:21:56 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5787	0.3472	
1439817717.297	15:21:57 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817718.243	15:21:58 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817719.194	15:21:59 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817720.138	15:22:00 17/08/2015		9.599980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817721.086	15:22:01 17/08/2015		9.999992E-9	4.999990E-9	-1.00000000	8.5787	0.3472	
1439817722.036	15:22:02 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817722.981	15:22:02 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817723.981	15:22:03 17/08/2015		9.499980E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817724.981	15:22:04 17/08/2015		9.899980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817725.901	15:22:05 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817726.846	15:22:06 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817727.846	15:22:07 17/08/2015		9.899980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817728.748	15:22:08 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817729.756	15:22:09 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817730.725	15:22:10 17/08/2015		9.299980E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817731.681	15:22:11 17/08/2015		9.099981E-9	5.099989E-9	5.199989E-9	8.5787	0.3472	
1439817732.681	15:22:12 17/08/2015		8.799982E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817733.681	15:22:13 17/08/2015		8.799982E-9	-1.00000000	5.099989E-9	8.5787	0.3472	
1439817734.648	15:22:14 17/08/2015		9.099981E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817735.632	15:22:15 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817736.632	15:22:16 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817737.632	15:22:17 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817738.632	15:22:18 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817739.632	15:22:19 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817740.632	15:22:20 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817741.632	15:22:21 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817742.632	15:22:22 17/08/2015		9.999992E-9	5.199989E-9	5.099989E-9	8.5787	0.3472	
1439817743.632	15:22:23 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817744.563	15:22:24 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817745.562	15:22:25 17/08/2015		9.799979E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817746.530	15:22:26 17/08/2015		9.499980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817747.530	15:22:27 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
