acqUNIXTime	acqDateTimestamp	VAC.VVSB_41731(mbar)	VAC.VGI_3(mbar)	VAC.VVSB_41737(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439820573.078	16:09:33 17/08/2015					5.099989E-9	8.5787	0.3472	
1439820574.078	16:09:34 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820575.078	16:09:35 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820576.078	16:09:36 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820577.078	16:09:37 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820578.077	16:09:38 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820579.077	16:09:39 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820580.077	16:09:40 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820581.077	16:09:41 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820582.077	16:09:42 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820583.077	16:09:43 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820584.077	16:09:44 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820585.077	16:09:45 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820586.077	16:09:46 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820587.077	16:09:47 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820588.077	16:09:48 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
