acqUNIXTime	acqDateTimestamp	VAC.VVSB_41731(mbar)	VAC.VGI_3(mbar)	VAC.VVSB_41737(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	Store_Position_TS4M(°)	
1439821265.767	16:21:05 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821266.868	16:21:06 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821267.951	16:21:07 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821269.036	16:21:09 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	4.999990E-9	8.5787	0.3472	168.3478	
1439821270.116	16:21:10 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821271.203	16:21:11 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821272.309	16:21:12 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821273.390	16:21:13 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821274.450	16:21:14 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821275.573	16:21:15 17/08/2015		3.000000E+0	9.299980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821276.641	16:21:16 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821277.725	16:21:17 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821278.803	16:21:18 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821279.915	16:21:19 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821281.072	16:21:21 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821282.168	16:21:22 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821283.267	16:21:23 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821284.366	16:21:24 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821285.436	16:21:25 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821286.548	16:21:26 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821287.622	16:21:27 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821288.704	16:21:28 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821289.812	16:21:29 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821290.944	16:21:30 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821292.031	16:21:32 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821293.135	16:21:33 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821294.230	16:21:34 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821295.319	16:21:35 17/08/2015		3.000000E+0	9.199981E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821296.409	16:21:36 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821297.512	16:21:37 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	168.3478	
1439821298.575	16:21:38 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821299.765	16:21:39 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821300.820	16:21:40 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821301.959	16:21:41 17/08/2015		3.000000E+0	9.299980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
1439821303.117	16:21:43 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	168.3478	
