acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439642685.331	20150815_144445		5.299989E-9	5.299989E-9	9.000000E-10	5.299989E-9	8.5556	
1439642686.808	20150815_144446		9.500000E-10	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642687.813	20150815_144447		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642689.152	20150815_144449		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642690.156	20150815_144450		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642691.161	20150815_144451		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642692.166	20150815_144452		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642693.173	20150815_144453		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642694.173	20150815_144454		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642695.173	20150815_144455		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642696.177	20150815_144456		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642697.177	20150815_144457		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642698.181	20150815_144458		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642699.186	20150815_144459		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642700.250	20150815_144500		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642701.262	20150815_144501		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642702.268	20150815_144502		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642703.274	20150815_144503		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642704.278	20150815_144504		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642705.285	20150815_144505		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642706.288	20150815_144506		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642707.308	20150815_144507		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642708.308	20150815_144508		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642709.465	20150815_144509		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642710.469	20150815_144510		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
