CommTime	UNIX timestamp		Time (ms)		VAC.VGI_1/PR (mbar)
3.000000	1437550210638		30245.302			1.399999E-8
18.000000	1437550210656		18.556			1.399999E-8
16.000000	1437550210672		15.625			1.399999E-8
15.000000	1437550210687		15.625			1.399999E-8
16.000000	1437550210704		16.602			1.399999E-8
17.000000	1437550210720		15.625			1.399999E-8
16.000000	1437550210736		16.602			1.399999E-8
18.000000	1437550210754		17.579			1.399999E-8
16.000000	1437550210770		16.602			1.399999E-8
16.000000	1437550210786		15.625			1.399999E-8
16.000000	1437550210802		15.626			1.399999E-8
18.000000	1437550210820		18.555			1.399999E-8
16.000000	1437550210836		15.625			1.399999E-8
15.000000	1437550210851		14.649			1.399999E-8
20.000000	1437550210871		20.508			1.399999E-8
16.000000	1437550210887		15.626			1.399999E-8
14.000000	1437550210901		14.649			1.399999E-8
16.000000	1437550210917		15.625			1.399999E-8
18.000000	1437550210936		18.555			1.399999E-8
16.000000	1437550210951		15.626			1.399999E-8
15.000000	1437550210966		14.649			1.399999E-8
14.000000	1437550210980		14.649			1.399999E-8
17.000000	1437550210997		16.602			1.399999E-8
16.000000	1437550211014		16.603			1.399999E-8
16.000000	1437550211029		15.625			1.399999E-8
16.000000	1437550211045		15.625			1.399999E-8
15.000000	1437550211061		15.626			1.399999E-8
16.000000	1437550211076		15.625			1.399999E-8
15.000000	1437550211091		14.649			1.399999E-8
15.000000	1437550211106		15.625			1.399999E-8
15.000000	1437550211122		15.625			1.399999E-8
15.000000	1437550211137		14.649			1.399999E-8
15.000000	1437550211151		14.649			1.399999E-8
16.000000	1437550211167		15.625			1.399999E-8
16.000000	1437550211183		15.625			1.399999E-8
14.000000	1437550211197		14.649			1.399999E-8
16.000000	1437550211214		16.602			1.399999E-8
15.000000	1437550211228		14.649			1.399999E-8
22.000000	1437550211250		21.485			1.299999E-8
15.000000	1437550211265		14.649			1.299999E-8
14.000000	1437550211279		14.649			1.299999E-8
17.000000	1437550211297		17.579			1.299999E-8
15.000000	1437550211312		14.649			1.299999E-8
16.000000	1437550211327		15.625			1.299999E-8
18.000000	1437550211345		17.579			1.299999E-8
16.000000	1437550211361		16.603			1.299999E-8
16.000000	1437550211377		15.625			1.299999E-8
16.000000	1437550211393		15.625			1.299999E-8
15.000000	1437550211410		17.579			1.299999E-8
18.000000	1437550211427		16.602			1.299999E-8
16.000000	1437550211442		15.625			1.299999E-8
16.000000	1437550211458		15.626			1.299999E-8
16.000000	1437550211474		15.625			1.299999E-8
15.000000	1437550211489		15.625			1.299999E-8
16.000000	1437550211505		15.625			1.299999E-8
15.000000	1437550211520		15.626			1.299999E-8
16.000000	1437550211536		15.625			1.299999E-8
17.000000	1437550211553		16.602			1.299999E-8
16.000000	1437550211569		16.602			1.299999E-8
16.000000	1437550211585		15.626			1.299999E-8
16.000000	1437550211601		15.625			1.299999E-8
15.000000	1437550211616		15.625			1.299999E-8
16.000000	1437550211632		15.626			1.299999E-8
13.000000	1437550211646		14.649			1.299999E-8
17.000000	1437550211662		15.625			1.299999E-8
16.000000	1437550211678		15.625			1.299999E-8
14.000000	1437550211693		15.625			1.299999E-8
17.000000	1437550211709		15.626			1.299999E-8
17.000000	1437550211726		16.602			1.299999E-8
14.000000	1437550211740		14.649			1.299999E-8
16.000000	1437550211756		15.626			1.299999E-8
17.000000	1437550211773		17.578			1.299999E-8
15.000000	1437550211789		15.625			1.299999E-8
16.000000	1437550211804		14.649			1.299999E-8
15.000000	1437550211819		15.626			1.299999E-8
16.000000	1437550211835		15.625			1.299999E-8
19.000000	1437550211854		19.532			1.299999E-8
16.000000	1437550211870		15.626			1.299999E-8
15.000000	1437550211885		14.649			1.299999E-8
14.000000	1437550211899		14.649			1.299999E-8
16.000000	1437550211915		15.625			1.299999E-8
17.000000	1437550211932		16.603			1.299999E-8
15.000000	1437550211947		15.625			1.299999E-8
16.000000	1437550211963		15.625			1.299999E-8
16.000000	1437550211979		16.603			1.299999E-8
16.000000	1437550211995		15.625			1.299999E-8
16.000000	1437550212011		15.625			1.299999E-8
14.000000	1437550212026		15.625			1.299999E-8
18.000000	1437550212043		16.602			1.299999E-8
16.000000	1437550212059		15.625			1.299999E-8
15.000000	1437550212074		15.625			1.299999E-8
16.000000	1437550212090		15.625			1.299999E-8
15.000000	1437550212105		15.626			1.299999E-8
17.000000	1437550212122		16.602			1.299999E-8
16.000000	1437550212138		15.625			1.299999E-8
16.000000	1437550212154		16.603			1.299999E-8
16.000000	1437550212170		15.625			1.299999E-8
15.000000	1437550212186		15.625			1.299999E-8
16.000000	1437550212201		15.625			1.299999E-8
16.000000	1437550212217		15.626			1.299999E-8
13.000000	1437550212230		13.672			1.299999E-8
15.000000	1437550212245		14.649			1.299999E-8
17.000000	1437550212262		16.602			1.299999E-8
15.000000	1437550212277		15.626			1.299999E-8
16.000000	1437550212293		15.625			1.299999E-8
15.000000	1437550212309		15.625			1.299999E-8
16.000000	1437550212324		15.625			1.299999E-8
17.000000	1437550212341		16.603			1.299999E-8
15.000000	1437550212356		15.625			1.299999E-8
16.000000	1437550212372		15.625			1.299999E-8
14.000000	1437550212386		13.672			1.299999E-8
17.000000	1437550212403		17.579			1.299999E-8
17.000000	1437550212420		16.602			1.299999E-8
15.000000	1437550212435		14.649			1.299999E-8
19.000000	1437550212454		19.532			1.299999E-8
20.000000	1437550212475		20.508			1.299999E-8
24.000000	1437550212498		23.438			1.299999E-8
16.000000	1437550212514		15.626			1.299999E-8
