CommTime	UNIX timestamp		Time (ms)		VAC.VGI_1/PR (mbar)
16.000000	3520403155527		18.000000			1.399999E-8
14.000000	3520403155544		16.000000			1.399999E-8
17.000000	3520403155559		15.000000			1.399999E-8
16.000000	3520403155576		17.000000			1.399999E-8
17.000000	3520403155592		16.000000			1.399999E-8
16.000000	3520403155608		17.000000			1.399999E-8
16.000000	3520403155625		16.000000			1.399999E-8
17.000000	3520403155641		16.000000			1.399999E-8
16.000000	3520403155658		17.000000			1.399999E-8
15.000000	3520403155674		16.000000			1.399999E-8
15.000000	3520403155688		15.000000			1.399999E-8
16.000000	3520403155704		15.000000			1.399999E-8
16.000000	3520403155720		16.000000			1.399999E-8
15.000000	3520403155735		16.000000			1.399999E-8
16.000000	3520403155751		15.000000			1.399999E-8
18.000000	3520403155767		16.000000			1.399999E-8
17.000000	3520403155785		18.000000			1.399999E-8
17.000000	3520403155802		17.000000			1.399999E-8
16.000000	3520403155818		17.000000			1.399999E-8
16.000000	3520403155835		16.000000			1.399999E-8
15.000000	3520403155851		16.000000			1.399999E-8
16.000000	3520403155866		15.000000			1.399999E-8
16.000000	3520403155882		16.000000			1.399999E-8
15.000000	3520403155897		16.000000			1.399999E-8
17.000000	3520403155913		15.000000			1.399999E-8
17.000000	3520403155930		17.000000			1.399999E-8
20.000000	3520403155947		17.000000			1.399999E-8
23.000000	3520403155967		20.000000			1.399999E-8
16.000000	3520403155991		24.000000			1.399999E-8
15.000000	3520403156007		16.000000			1.399999E-8
15.000000	3520403156022		16.000000			1.399999E-8
15.000000	3520403156038		15.000000			1.399999E-8
16.000000	3520403156054		16.000000			1.399999E-8
15.000000	3520403156069		16.000000			1.399999E-8
18.000000	3520403156085		15.000000			1.399999E-8
16.000000	3520403156103		18.000000			1.399999E-8
17.000000	3520403156119		16.000000			1.399999E-8
18.000000	3520403156136		17.000000			1.399999E-8
15.000000	3520403156153		18.000000			1.399999E-8
17.000000	3520403156169		15.000000			1.299999E-8
28.000000	3520403156186		17.000000			1.299999E-8
16.000000	3520403156214		28.000000			1.299999E-8
15.000000	3520403156229		16.000000			1.299999E-8
21.000000	3520403156245		15.000000			1.299999E-8
15.000000	3520403156266		21.000000			1.299999E-8
15.000000	3520403156282		16.000000			1.299999E-8
17.000000	3520403156297		15.000000			1.299999E-8
14.000000	3520403156314		18.000000			1.299999E-8
17.000000	3520403156329		14.000000			1.299999E-8
21.000000	3520403156346		17.000000			1.299999E-8
18.000000	3520403156367		21.000000			1.299999E-8
15.000000	3520403156385		18.000000			1.299999E-8
13.000000	3520403156399		15.000000			1.299999E-8
16.000000	3520403156413		13.000000			1.299999E-8
15.000000	3520403156429		16.000000			1.299999E-8
23.000000	3520403156443		15.000000			1.299999E-8
16.000000	3520403156467		23.000000			1.299999E-8
21.000000	3520403156482		16.000000			1.299999E-8
15.000000	3520403156504		21.000000			1.299999E-8
15.000000	3520403156521		17.000000			1.299999E-8
16.000000	3520403156536		15.000000			1.299999E-8
16.000000	3520403156552		16.000000			1.299999E-8
16.000000	3520403156567		16.000000			1.299999E-8
18.000000	3520403156584		16.000000			1.299999E-8
16.000000	3520403156602		18.000000			1.299999E-8
16.000000	3520403156618		16.000000			1.299999E-8
18.000000	3520403156634		16.000000			1.299999E-8
17.000000	3520403156651		18.000000			1.299999E-8
16.000000	3520403156669		17.000000			1.299999E-8
17.000000	3520403156685		16.000000			1.299999E-8
15.000000	3520403156702		17.000000			1.299999E-8
14.000000	3520403156718		16.000000			1.299999E-8
14.000000	3520403156732		15.000000			1.299999E-8
16.000000	3520403156747		14.000000			1.299999E-8
15.000000	3520403156763		16.000000			1.299999E-8
21.000000	3520403156777		15.000000			1.299999E-8
16.000000	3520403156799		21.000000			1.299999E-8
15.000000	3520403156814		16.000000			1.299999E-8
17.000000	3520403156830		15.000000			1.299999E-8
15.000000	3520403156847		17.000000			1.299999E-8
14.000000	3520403156861		15.000000			1.299999E-8
17.000000	3520403156876		14.000000			1.299999E-8
17.000000	3520403156893		17.000000			1.299999E-8
16.000000	3520403156910		17.000000			1.299999E-8
15.000000	3520403156926		16.000000			1.299999E-8
14.000000	3520403156940		15.000000			1.299999E-8
15.000000	3520403156955		14.000000			1.299999E-8
16.000000	3520403156970		15.000000			1.299999E-8
13.000000	3520403156985		16.000000			1.299999E-8
15.000000	3520403156999		13.000000			1.299999E-8
16.000000	3520403157014		15.000000			1.299999E-8
14.000000	3520403157029		16.000000			1.299999E-8
16.000000	3520403157045		15.000000			1.299999E-8
16.000000	3520403157062		17.000000			1.299999E-8
16.000000	3520403157078		16.000000			1.299999E-8
15.000000	3520403157094		16.000000			1.299999E-8
15.000000	3520403157108		15.000000			1.299999E-8
14.000000	3520403157125		15.000000			1.299999E-8
15.000000	3520403157140		15.000000			1.299999E-8
14.000000	3520403157154		15.000000			1.299999E-8
18.000000	3520403157170		15.000000			1.399999E-8
14.000000	3520403157188		18.000000			1.399999E-8
15.000000	3520403157202		14.000000			1.399999E-8
16.000000	3520403157217		15.000000			1.399999E-8
15.000000	3520403157232		16.000000			1.399999E-8
17.000000	3520403157248		15.000000			1.399999E-8
16.000000	3520403157265		17.000000			1.399999E-8
15.000000	3520403157281		16.000000			1.399999E-8
14.000000	3520403157297		16.000000			1.399999E-8
14.000000	3520403157311		14.000000			1.399999E-8
15.000000	3520403157325		14.000000			1.399999E-8
15.000000	3520403157340		15.000000			1.399999E-8
14.000000	3520403157355		15.000000			1.399999E-8
16.000000	3520403157369		14.000000			1.399999E-8
17.000000	3520403157385		16.000000			1.399999E-8
17.000000	3520403157401		17.000000			1.399999E-8
17.000000	3520403157419		17.000000			1.399999E-8
15.000000	3520403157436		17.000000			1.399999E-8
15.000000	3520403157451		15.000000			1.399999E-8
19.000000	3520403157466		15.000000			1.399999E-8
23.000000	3520403157484		19.000000			1.399999E-8
17.000000	3520403157508		23.000000			1.399999E-8
13.000000	3520403157524		17.000000			1.399999E-8
17.000000	3520403157538		13.000000			1.399999E-8
16.000000	3520403157555		17.000000			1.399999E-8
16.000000	3520403157571		17.000000			1.399999E-8
16.000000	3520403157588		16.000000			1.399999E-8
16.000000	3520403157604		16.000000			1.399999E-8
18.000000	3520403157621		17.000000			1.399999E-8
15.000000	3520403157639		18.000000			1.399999E-8
15.000000	3520403157653		15.000000			1.399999E-8
16.000000	3520403157669		15.000000			1.399999E-8
15.000000	3520403157685		16.000000			1.399999E-8
16.000000	3520403157700		15.000000			1.399999E-8
16.000000	3520403157716		16.000000			1.399999E-8
16.000000	3520403157731		16.000000			1.399999E-8
14.000000	3520403157749		17.000000			1.399999E-8
15.000000	3520403157763		14.000000			1.399999E-8
15.000000	3520403157778		16.000000			1.399999E-8
15.000000	3520403157794		15.000000			1.399999E-8
17.000000	3520403157809		15.000000			1.399999E-8
16.000000	3520403157826		17.000000			1.399999E-8
15.000000	3520403157842		16.000000			1.399999E-8
16.000000	3520403157856		15.000000			1.399999E-8
17.000000	3520403157873		16.000000			1.399999E-8
15.000000	3520403157890		17.000000			1.399999E-8
15.000000	3520403157904		15.000000			1.399999E-8
16.000000	3520403157920		15.000000			1.399999E-8
16.000000	3520403157936		16.000000			1.399999E-8
16.000000	3520403157952		16.000000			1.399999E-8
15.000000	3520403157968		16.000000			1.399999E-8
19.000000	3520403157983		16.000000			1.399999E-8
15.000000	3520403158003		19.000000			1.399999E-8
14.000000	3520403158018		15.000000			1.399999E-8
16.000000	3520403158032		14.000000			1.399999E-8
14.000000	3520403158048		16.000000			1.399999E-8
14.000000	3520403158062		14.000000			1.399999E-8
16.000000	3520403158076		14.000000			1.399999E-8
16.000000	3520403158092		16.000000			1.399999E-8
18.000000	3520403158107		16.000000			1.399999E-8
16.000000	3520403158126		18.000000			1.399999E-8
15.000000	3520403158142		16.000000			1.399999E-8
15.000000	3520403158157		15.000000			1.399999E-8
15.000000	3520403158172		15.000000			1.299999E-8
14.000000	3520403158187		15.000000			1.299999E-8
15.000000	3520403158201		14.000000			1.299999E-8
16.000000	3520403158216		15.000000			1.299999E-8
21.000000	3520403158232		16.000000			1.299999E-8
17.000000	3520403158254		21.000000			1.299999E-8
14.000000	3520403158271		17.000000			1.299999E-8
14.000000	3520403158285		14.000000			1.299999E-8
15.000000	3520403158299		14.000000			1.299999E-8
16.000000	3520403158314		15.000000			1.299999E-8
16.000000	3520403158330		16.000000			1.299999E-8
14.000000	3520403158346		16.000000			1.299999E-8
13.000000	3520403158360		15.000000			1.299999E-8
15.000000	3520403158374		13.000000			1.299999E-8
15.000000	3520403158389		15.000000			1.299999E-8
13.000000	3520403158403		15.000000			1.299999E-8
14.000000	3520403158417		13.000000			1.299999E-8
15.000000	3520403158431		14.000000			1.299999E-8
14.000000	3520403158446		16.000000			1.299999E-8
15.000000	3520403158462		15.000000			1.299999E-8
13.000000	3520403158477		15.000000			1.299999E-8
16.000000	3520403158490		13.000000			1.299999E-8
15.000000	3520403158506		16.000000			1.299999E-8
15.000000	3520403158521		15.000000			1.299999E-8
16.000000	3520403158536		15.000000			1.299999E-8
15.000000	3520403158552		16.000000			1.299999E-8
14.000000	3520403158566		15.000000			1.299999E-8
15.000000	3520403158582		15.000000			1.299999E-8
15.000000	3520403158597		15.000000			1.299999E-8
14.000000	3520403158611		15.000000			1.299999E-8
19.000000	3520403158626		14.000000			1.299999E-8
16.000000	3520403158645		19.000000			1.299999E-8
17.000000	3520403158661		16.000000			1.299999E-8
17.000000	3520403158678		17.000000			1.299999E-8
16.000000	3520403158694		17.000000			1.299999E-8
17.000000	3520403158711		16.000000			1.299999E-8
16.000000	3520403158728		17.000000			1.299999E-8
17.000000	3520403158744		16.000000			1.299999E-8
18.000000	3520403158761		17.000000			1.299999E-8
13.000000	3520403158778		18.000000			1.299999E-8
17.000000	3520403158793		14.000000			1.299999E-8
14.000000	3520403158810		17.000000			1.299999E-8
19.000000	3520403158825		15.000000			1.299999E-8
17.000000	3520403158844		19.000000			1.299999E-8
16.000000	3520403158860		17.000000			1.299999E-8
17.000000	3520403158877		16.000000			1.299999E-8
18.000000	3520403158894		17.000000			1.299999E-8
18.000000	3520403158912		18.000000			1.299999E-8
15.000000	3520403158931		19.000000			1.299999E-8
14.000000	3520403158945		15.000000			1.299999E-8
15.000000	3520403158960		14.000000			1.299999E-8
14.000000	3520403158975		15.000000			1.299999E-8
15.000000	3520403158989		14.000000			1.299999E-8
16.000000	3520403159004		15.000000			1.299999E-8
15.000000	3520403159020		16.000000			1.299999E-8
16.000000	3520403159035		15.000000			1.299999E-8
18.000000	3520403159051		16.000000			1.299999E-8
15.000000	3520403159068		18.000000			1.299999E-8
15.000000	3520403159084		15.000000			1.299999E-8
16.000000	3520403159099		15.000000			1.299999E-8
16.000000	3520403159115		16.000000			1.299999E-8
19.000000	3520403159131		16.000000			1.299999E-8
15.000000	3520403159150		19.000000			1.299999E-8
16.000000	3520403159166		16.000000			1.399999E-8
15.000000	3520403159182		16.000000			1.399999E-8
